1	1	0	a	Happy bebe!
2	2	0	a	coated in a paste of fresh garlic and filled with herbs. we collectively eat 6 of these fish a week. I’m so proud Luna loves it!!!
3	3	0	a	this kid
4	4	0	a	home tomorrow 😩
5	5	0	a	I love this girl
6	6	0	a	🍝 class!
7	7	1	a	Spent most of the day remaking an episode of Four Weddings on my stories! If you’re one of the 6 other people who watch it, you’ll love it!
8	8	0	a	truffle hunting! luna calling for the genius truffle pup.
9	9	0	a	soon!!
10	10	0	a	Versailles - the breathtaking wedding of Lang Lang and Gina! Such an incredibly beautiful and talented couple!!
11	11	1	a	I didn’t have *a* drink. I had all of them. My idea was to get everyone drunk so we could win but we accidentally drank it all on my team. Number one answer for this: karma 😩😩😩😩
12	12	0	a	siena!
13	13	0	a	I think someone’s gonna take his first steps in Italy! oh dear
14	14	0	a	Luna has the very strong belief that only girls can be beautiful and only boys can be cute.
15	15	0	a	da bears!
16	16	0	a	we have reached a settlement.
17	17	0	a	candy court is in session. part 1/2.
18	18	0	a	bonjour!
19	19	1	a	One of the most memorable lip sync battles EVER!!! Luna had never been so happy in her life. We’ll be watching and reliving TOOOOnight!! Get ready for big bird VS jason schwartzman, tonight on @paramountnetwork, 10/9c!! @lipsyncbattle 💛
20	20	0	a	I love this age
21	21	0	a	💕
22	22	1	a	"When we win, it won’t be by ourselves. #betrue #untilweallwin
⠀
@casterSemenya800m @TheChrisMosier @ScoutBassett @KerronClement @MarkMcKenzie4 @EricKoston @Elissa_Steamer @Daaarkness @SBird10 @BrittneyYvetteGriner @jaeecan @Jewellloyd"
23	23	1	a	"Crazy dreams take crazy effort.
⠀
18 career majors. 12 French titles. Congratulations @rafaelnadal. #justdoit"
24	24	1	a	"“Whatever happens, we’re a team. In defeat as much as in victory. It’s impossible to win by yourself.” @amandine_henry
⠀
When Amandine Henry and her teammates were young, they could only dream of an opportunity like this.
⠀
Today, that dream becomes reality.
⠀
Don’t change your dream. Change the world. #justdoit"
25	25	1	a	"“Even if I were born again, I’d still play football.” @ji_soyun10
⠀
Ji So-Yun's dream isn’t to be one of the best female football players in the world.
⠀
Ji dreams of becoming one of the best players in the world, period. #justdoit"
26	26	1	a	“It’s important for girls to believe in themselves, because if you believe in yourself that means you can do anything.” - Makena, Age 9, #justdoit
27	27	1	a	"@amandine_henry: It’s impossible to win by yourself.

“Whatever happens, we’re a team. In defeat, as much as in victory. It’s impossible to win by yourself. Impossible. And I think that, if you perform well individually, you’ll perform well collectively.”
⠀
French midfield general Amandine Henry knows it takes a whole team to win and now, as captain of her country, she’s not afraid to lead that team.
⠀
Don’t change your dream. Change the world. #justdoit"
28	28	1	a	"@liekemartens: Create your own path.

“I’m really happy to be able to inspire the next generation of girls. That they now have female role models, and can see what they can achieve so that they’ll work hard and eventually follow in my footsteps.”
⠀
As a child Netherlands’ star Lieke Martens told everyone she wanted to become a professional footballer. When they replied: “Dream on, girl” that’s exactly what she did.
⠀
Don’t change your dream. Change the world. #justdoit"
29	29	1	a	"“One of the biggest things is just trusting yourself.” @naomiosaka
⠀
Just because your situation changes doesn’t mean you have to. #justdoit"
30	30	1	a	"@frankirby: Find your joy.

“Find your joy and make sure that you give 100 percent in everything you do.”
⠀
England striker Fran Kirby never changed her dream of playing for England even though there was a time she fell out of love with football. But her dream was always there and she rediscovered her love for the game. This summer, she prepares to return with the Lionesses again on the world’s biggest stage.
⠀
Don’t change your dream. Change the world. #justdoit"
31	31	1	a	"@carogarcia: Dream Crazier

“He’s always trying to push me because he knows I’m going to improve.” @carogarcia

Sometimes your first coach is your best one.

Caroline's father has guided her from her first tournament to her latest one. Challenging her and comforting her. Pushing her and patting her on the back. Celebrating and commiserating.

Traditionally, elite tennis players move on. They “grow up” and work with someone else. Obviously, Caroline is anything but traditional. #justdoit"
32	32	1	a	"@sara.daebritz13: Talent is not enough

""Talent is not enough, it's important to be determined and disciplined.""
⠀
German midfielder Sara Däbritz always knew she was going to turn her childhood dream of becoming a professional footballer into a reality. So now it’s time for a new dream: that women’s games will sell out stadiums.
⠀
Don’t change your dream. Change the world. #justdoit"
33	33	1	a	"@simonahalep: Dream Crazier

“If you look around the tennis world, all of the players are much taller than me. But I don’t feel small.” @simonahalep
⠀
As a child, when Simona Halep told the world that she wanted to be the next great tennis player, they laughed at her. They said that she was too small.
⠀
You know what Simona told us? They were right. Size matters.
⠀
But it isn’t height or weight that counts. It's the size of your heart. #justdoit"
34	34	1	a	"@jasondayofficial: Dream Crazier

“There was a time where my Mom was using a kettle to warm up water so we could have showers.” @jasondayofficial
⠀
You don’t have to have much to have a dream.
⠀
When Jason Day was a kid, he didn’t have a bag full of fancy clubs. He didn’t have a country club membership. And at times, he didn’t even have hot water.
⠀
But none of that stopped him from the chase. #justdoit"
35	35	1	a	This is what it looks like to be one of the world’s best tuberiders. #justdoit
